conversation_id,participant_id,comment_id,comment_text,is_seed,comment_created_at,vote,reaction_created_at
sim-hollys-law-2026,p001,c001,Mandate microchipping and registration for all dogs and cats nationwide,true,2026-03-10T09:00:00Z,agree,2026-03-11T10:00:00Z
sim-hollys-law-2026,p002,c001,Mandate microchipping and registration for all dogs and cats nationwide,true,2026-03-10T09:00:00Z,agree,2026-03-11T10:00:00Z
sim-hollys-law-2026,p003,c001,Mandate microchipping and registration for all dogs and cats nationwide,true,2026-03-10T09:00:00Z,agree,2026-03-11T10:00:00Z
sim-hollys-law-2026,p004,c001,Mandate microchipping and registration for all dogs and cats nationwide,true,2026-03-10T09:00:00Z,agree,2026-03-11T10:00:00Z
sim-hollys-law-2026,p005,c001,Mandate microchipping and registration for all dogs and cats nationwide,true,2026-03-10T09:00:00Z,agree,2026-03-11T10:00:00Z
sim-hollys-law-2026,p006,c001,Mandate microchipping and registration for all dogs and cats nationwide,true,2026-03-10T09:00:00Z,agree,2026-03-11T10:00:00Z
sim-hollys-law-2026,p007,c001,Mandate microchipping and registration for all dogs and cats nationwide,true,2026-03-10T09:00:00Z,agree,2026-03-11T10:00:00Z
sim-hollys-law-2026,p008,c001,Mandate microchipping and registration for all dogs and cats nationwide,true,2026-03-10T09:00:00Z,agree,2026-03-11T10:00:00Z
sim-hollys-law-2026,p009,c001,Mandate microchipping and registration for all dogs and cats nationwide,true,2026-03-10T09:00:00Z,pass,2026-03-11T10:00:00Z
sim-hollys-law-2026,p010,c001,Mandate microchipping and registration for all dogs and cats nationwide,true,2026-03-10T09:00:00Z,disagree,2026-03-11T10:00:00Z
sim-hollys-law-2026,p001,c002,Guarantee stable funding for TNVR sterilization and vaccination programs,true,2026-03-10T09:03:00Z,agree,2026-03-11T10:00:00Z
sim-hollys-law-2026,p002,c002,Guarantee stable funding for TNVR sterilization and vaccination programs,true,2026-03-10T09:03:00Z,agree,2026-03-11T10:00:00Z
sim-hollys-law-2026,p003,c002,Guarantee stable funding for TNVR sterilization and vaccination programs,true,2026-03-10T09:03:00Z,agree,2026-03-11T10:00:00Z
sim-hollys-law-2026,p004,c002,Guarantee stable funding for TNVR sterilization and vaccination programs,true,2026-03-10T09:03:00Z,agree,2026-03-11T10:00:00Z
sim-hollys-law-2026,p005,c002,Guarantee stable funding for TNVR sterilization and vaccination programs,true,2026-03-10T09:03:00Z,agree,2026-03-11T10:00:00Z
sim-hollys-law-2026,p006,c002,Guarantee stable funding for TNVR sterilization and vaccination programs,true,2026-03-10T09:03:00Z,agree,2026-03-11T10:00:00Z
sim-hollys-law-2026,p007,c002,Guarantee stable funding for TNVR sterilization and vaccination programs,true,2026-03-10T09:03:00Z,agree,2026-03-11T10:00:00Z
sim-hollys-law-2026,p008,c002,Guarantee stable funding for TNVR sterilization and vaccination programs,true,2026-03-10T09:03:00Z,pass,2026-03-11T10:00:00Z
sim-hollys-law-2026,p009,c002,Guarantee stable funding for TNVR sterilization and vaccination programs,true,2026-03-10T09:03:00Z,pass,2026-03-11T10:00:00Z
sim-hollys-law-2026,p010,c002,Guarantee stable funding for TNVR sterilization and vaccination programs,true,2026-03-10T09:03:00Z,disagree,2026-03-11T10:00:00Z
sim-hollys-law-2026,p001,c003,Introduce stricter penalties for pet abandonment and unregulated breeding,true,2026-03-10T09:06:00Z,agree,2026-03-11T10:00:00Z
sim-hollys-law-2026,p002,c003,Introduce stricter penalties for pet abandonment and unregulated breeding,true,2026-03-10T09:06:00Z,agree,2026-03-11T10:00:00Z
